account.licenseNumber;listing.address.point.lat;listing.address.point.lon;listing.advertiserId;listing.totalAreas
29484-J-SP;-23.475799;-45.071731;ba672c44-3e71-f814-f2ac-4ef14c18b87b;150m2
32448-J-SP;-23.537103;-46.717976;e644f586-6577-9a4c-da50-cf7f3092cd0f;130m2
07389-J-RJ;-23.013299;-43.448134;b6d77621-1cb5-dd3e-7883-a4cc7dbe795b;74m2
03524-J-MG;-19.928151;-43.942982;620b02e4-2631-492a-3c26-d09528b47ed5;122m2
24344-J-SP;-23.606023;-46.630012;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;82m2
24344-J-SP;-22.910926;-47.034626;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;82m2
131313-J-SP;-21.9999;-47.903098;8b56e11d-a8e0-e0b9-5853-a613f8f9c674;68m2
24344-J-SP;-23.556059;-46.619446;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;55m2
24344-J-SP;-22.957153;-43.348334;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;62m2
20269-J-SP;-23.629993;-46.592133;0e12b013-f7eb-d6fd-d9e1-f4071b44940a;60m2
24344-J-SP;-23.485014;-46.855602;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;91m2
24344-J-SP;-19.885665;-43.92608;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;127m2
30338-J-SP;-23.617044;-46.571451;3eecf98a-bca2-a28d-d7d4-4b13062db4c5;57m2
25949-J-SP;-23.533656;-46.645979;a490cc19-a9fc-0c3f-0e2e-def51832abc9;44m2
24242-F-RJ;-22.98376;-43.220585;0f3347c6-f928-7836-5b00-9240a6a16cd2;36m2
33156-J-SP;-23.090063;-47.188118;db05ed4f-57cf-47c8-c8ca-d615cdfea15f;53m2
24344-J-SP;-23.578205;-46.636254;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;58m2
normal;-30.03526;-51.225255;4d3a2a1f-385c-77e9-6af1-181ed42b923e;normalm2
24344-J-SP;-23.534742;-46.786663;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;64m2
24344-J-SP;-25.461041;-49.337509;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;64m2
normal;-22.965494;-43.19282;75b94ea9-f21d-2212-d8ab-2e07b4b6fc5c;120m2
23394-J-SP;-23.591567;-46.677817;13cafc19-1979-13be-15fa-6ce2372450c3;72m2
24344-J-SP;-23.515053;-46.592936;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;68m2
20995-J-SP;-23.576023;-46.612686;c8c2bfe6-8d38-b71e-c939-71a49d9d98de;74m2
23669-J-SP;-23.605844;-46.645919;8a918be8-aa74-4769-6065-6411e8d66949;75m2
125551-F-SP;-23.499082;-46.724823;00ae55e4-c509-4343-8bad-94b950187ae8;50m2
11888-J-GO;-23.552534;-46.628642;fbb691a3-0d06-5b8b-90a5-752872639bb2;22m2
28772-J-SP;-23.605012;-46.676645;3569d4c2-f72b-a126-b01d-b308cf010f1e;230m2
02119-J-PR;-23.304452;-51.169582;e71c7a38-6c4f-51c3-08bc-96f6a53c9dcd;71m2
20995-J-SP;-23.563048;-46.626595;c8c2bfe6-8d38-b71e-c939-71a49d9d98de;40m2
24344-J-SP;-22.898931;-47.052735;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;57m2
24344-J-SP;-22.957153;-43.348334;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;62m2
06322-J-SP;-20.830865;-49.387967;66e0d1be-78be-2744-cdc6-779ee9bec2f4;80m2
02119-J-PR;-23.304452;-51.169582;e71c7a38-6c4f-51c3-08bc-96f6a53c9dcd;62m2
24344-J-SP;-23.533943;-46.538557;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;50m2
515030-F-RJ;-22.969772;-43.395851;9109eecb-4d6d-2846-0fc7-27ef1366a9b9;75m2
10179-J-SP;-22.84771;-47.086033;394e6e62-1cc3-af5d-b465-902b6cb44261;85m2
28914-J-SP;-22.90266;-47.054432;e63c21f6-bb9a-16b5-cc81-8519e02693c3;68m2
24344-J-SP;-23.539885;-46.704773;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;120m2
10179-J-SP;-22.911602;-47.059171;394e6e62-1cc3-af5d-b465-902b6cb44261;54m2
04420-J-MG;-19.946133;-43.972424;a8c6911b-1544-bcde-6b5b-deb96628d887;80m2
normal;-22.974626;-43.227027;23adcb36-a41e-ca01-c775-7992a29c14c1;63m2
021692-F-RJ;-22.930538;-43.174569;373267ee-2179-35b5-dc03-4462ea7fa3f1;230m2
00137-J-PR;-25.450541;-49.295527;ade55049-0622-a192-e679-8548fc405f2f;102m2
29076-J-SP;-22.949364;-47.035012;6eda4c94-79b5-96a4-f2d1-c982e49fdc38;65m2
22671-J-SP;-22.850242;-47.053485;3f549879-0117-10d0-688a-1c25bdb8727d;86m2
03327-J-MG;-21.76967;-43.34223;3ad51e7d-29a5-b59f-a940-a91ef7187479;1m2
00039-J-RS;-29.178242;-51.198917;60b57036-d4d0-69af-3ed8-8242aa165882;133m2
81511-F-SP;-23.50153;-47.45256;5ec44040-463f-2a7c-97f7-1f2391b2118d;66m2
07382-J-RJ;-22.905411;-43.1253;614d7110-624a-0b58-d1c0-f92090f108a1;50m2
normal;-23.55052;-46.633309;8b3d8fb9-f8ad-12d3-9bdd-338d92431dc4;202m2
24847-J-RS;-29.986703;-50.13167;6f6eea1e-e79e-c298-3a7b-18c551074129;100m2
006944-J-RJ;-22.803081;-43.201128;dc5aa796-cc6c-2992-de3f-bbf2a549c1ee;130m2
03011-J-MG;-19.925167;-43.988363;a5e19928-0877-1533-2443-98cdb949a0bd;65m2
22671-J-SP;-22.852214;-47.049788;3f549879-0117-10d0-688a-1c25bdb8727d;73m2
24242-F-RJ;-22.922381;-43.230679;0f3347c6-f928-7836-5b00-9240a6a16cd2;60m2
32272-J-SP;-20.838172;-49.388834;5846cbce-2ecd-7156-a66a-00e7270da6a0;55m2
21803-J-SP;-23.983506;-46.299291;74c84728-ec22-2cc4-fa9c-6b20023c1391;77m2
515030-F-RJ;-22.992408;-43.493398;9109eecb-4d6d-2846-0fc7-27ef1366a9b9;95m2
047250-F-RJ;-22.930786;-43.175757;f4d4df5c-f8a7-fcd4-0a55-9e92549d1ace;65m2
49997-F-RJ;-22.887609;-43.287312;ce646015-698e-fc32-0e79-c837db09f2d0;normalm2
normal;-26.26785;-48.855098;76318eed-7e85-2a0d-f052-297f751944d9;89m2
168895-F-SP;-21.183265;-47.809554;60c69223-dc93-beb2-9c42-4c295b59937d;157m2
32272-J-SP;-20.865854;-49.414225;5846cbce-2ecd-7156-a66a-00e7270da6a0;83m2
21931-J-RS;-32.033804;-52.092635;dff679e7-78e6-9fa6-1767-9ae14f30e32a;42m2
00782-J-SC;-28.681733;-49.370032;b2678a15-0794-4504-c691-6dae99e1ab60;144m2
28814-F-PR;-27.624946;-48.678157;d0dbf423-4a38-ea0f-0c57-4e471ce9981a;70m2
02733-J-SC;-26.912816;-49.070553;3ccfd2f0-812c-d141-1f1b-cc42a8dc9922;82m2
28814-F-PR;-23.512609;-47.476201;d0dbf423-4a38-ea0f-0c57-4e471ce9981a;90m2
006944-J-RJ;-22.796726;-43.193916;dc5aa796-cc6c-2992-de3f-bbf2a549c1ee;70m2
168895-F-SP;-21.210015;-47.817494;60c69223-dc93-beb2-9c42-4c295b59937d;74m2
27335-J-SP;-23.216478;-45.905046;110f6f46-d9bb-c1a3-67bd-a635c01245d1;65m2
24113-J-SP;-23.089384;-47.22096;b93398ad-11fb-198b-cd35-2faced4e1e4c;62m2
05994-J-RJ;-22.984415;-43.214071;de5e416d-b726-8497-ebb8-ab310bc93717;40m2
05994-J-RJ;-22.983519;-43.191737;de5e416d-b726-8497-ebb8-ab310bc93717;82m2
00000-F-RJ;-22.907083;-43.181915;05567b1b-f7f2-3619-e0a1-a97e805af966;40m2
00263-J-PB;-7.139905;-34.816611;790f6c18-fb96-9a77-4b49-21116c52aff8;75m2
7095-J-RJ;-22.965258;-43.180019;94552f9b-ec52-42ea-0681-3b31797dafa1;65m2
23675-J-SP;-22.918413;-47.044729;205760a4-5c45-05fe-c507-4d929bb8f407;96m2
04115-J-SC;-26.386033;-48.82132;2480c01b-e1a7-95b3-e11f-ba6aefebab8f;92m2
27646-J-SP;-22.366349;-49.055522;81ac1e56-1a44-ff9d-5dd6-8c86fdf4fcb5;120m2
21893-J-SP;-22.898717;-47.053011;faa6d345-9548-fc20-437e-9badf9a8e1e7;42m2
00137-J-PR;-25.442001;-49.273877;ade55049-0622-a192-e679-8548fc405f2f;75m2
24344-J-SP;-23.638359;-46.634668;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;54m2
24344-J-SP;-23.477966;-46.644531;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;55m2
14226-J-SP;-23.541888;-46.566409;932c7e17-f6d2-0e22-32e7-37275d869247;58m2
24344-J-SP;-23.519966;-46.568524;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;55m2
21229-J-RS;-31.761879;-52.340867;467dab58-1c18-ddca-7b0b-73a76f6f95c2;133m2
24344-J-SP;-23.607751;-46.612719;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;56m2
24344-J-SP;-22.790763;-47.082468;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;82m2
24344-J-SP;-22.926367;-43.179845;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;69m2
24344-J-SP;-19.938126;-43.982267;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;55m2
24344-J-SP;-23.660852;-46.69419;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;84m2
24344-J-SP;-23.590516;-46.634225;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;37m2
normal;-22.892643;-43.219416;e7999332-bb5d-66a5-9837-65fbe7ba583c;55m2
24344-J-SP;-23.450426;-46.55806;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;65m2
020561-J-SP;-20.554898;-47.414199;198c7327-0975-c975-abe9-43c5d25555c8;63m2
19991-J-SP;-23.589856;-46.673156;c3169797-26df-96ba-ff4a-bc122a3d14e0;51m2
normal;-23.622005;-46.735175;5d7e9dcc-5d39-5b40-6241-4a6f7379329b;600m2
10955-J-SP;-23.541133;-46.566257;83c3a679-e38f-5ee1-dab6-8ec654a3abe0;85m2
24344-J-SP;-23.619955;-46.732248;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;67m2
14226-J-SP;-23.532307;-46.575739;932c7e17-f6d2-0e22-32e7-37275d869247;60m2
24344-J-SP;-22.929563;-47.099699;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;82m2
46540-F-RJ;-22.968285;-43.188943;9b08b02a-ff69-d8de-50f3-d75c6c84bd97;65m2
047250-F-RJ;-22.936001;-43.188677;f4d4df5c-f8a7-fcd4-0a55-9e92549d1ace;130m2
24344-J-SP;-23.618538;-46.536514;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;75m2
20020-J-SP;-22.933374;-47.05998;fe7ef799-a426-889b-5cd4-d4495b4134be;45m2
24344-J-SP;-22.898742;-43.10351;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;68m2
24344-J-SP;-23.556571;-46.653857;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;40m2
